"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SYT8"	-0.599456445826791	4.02524794587858	8.76616550338014e-15	9.09694790611852e-13	TRUE	FALSE	FALSE
"RP11-566K11.2"	0.709483516967666	3.15616851472827	9.62535070138786e-15	9.93959009193317e-13	TRUE	FALSE	FALSE
"MAP3K3"	0.49572016509656	4.34837176201435	1.53771202733466e-14	1.58016788135765e-12	TRUE	FALSE	FALSE
"TMEM40"	-0.593301792626688	3.90818284425385	1.60654787966486e-14	1.64289017636019e-12	TRUE	FALSE	FALSE
"MYADM"	-0.430111833665766	6.47415078692655	1.69983460629954e-14	1.72988965296165e-12	TRUE	FALSE	FALSE
"SDC1"	-0.40110818656527	7.01401236744814	1.77290486361245e-14	1.79557758927211e-12	TRUE	FALSE	FALSE
"IRF8"	-0.650622632982433	3.66909487747387	1.87033432340387e-14	1.88518961037445e-12	TRUE	FALSE	FALSE
"RP11-1069G10.2"	-0.781979285300253	3.55631562943525	2.19623587319262e-14	2.20313832879409e-12	TRUE	FALSE	FALSE
"CYP11A1"	-0.413457473951459	7.31995346989026	2.60985469214221e-14	2.60564923908378e-12	TRUE	FALSE	FALSE
"FRMD4A"	-0.48255650461058	5.84728095700415	3.16669297702437e-14	3.14667708745261e-12	TRUE	FALSE	FALSE
"ST3GAL3"	0.742428764950654	2.49025503074709	3.43856511709822e-14	3.40078933130475e-12	TRUE	FALSE	FALSE
"CNNM3"	0.441469754171924	5.76321566261908	3.7907639483044e-14	3.73159968855049e-12	TRUE	FALSE	FALSE
"EVI5L"	0.553864323451939	5.52862585788757	3.86023374550554e-14	3.78231088757301e-12	TRUE	FALSE	FALSE
"CPD"	0.505168126898124	5.55475081081475	4.75593687594801e-14	4.63835954762596e-12	TRUE	FALSE	FALSE
"TOMM34"	-0.434859860916262	6.56014393521318	4.84881080900133e-14	4.70714509227751e-12	TRUE	FALSE	FALSE
